,Rent_Date,STA_LOC,Rent_Count,Yr_Mth,JIJACE_NM,ACC_CNT
265,2018-11-01,성동구,32262.0,2018-11-01 00:00:00,성동구,2.0
266,2018-11-01,성북구,38169.0,2018-11-01 00:00:00,성북구,5.0
267,2018-11-01,송파구,61214.0,2018-11-01 00:00:00,송파구,13.0
268,2018-11-01,양천구,32816.0,2018-11-01 00:00:00,양천구,2.0
269,2018-11-01,영등포구,34330.0,2018-11-01 00:00:00,영등포구,11.0
270,2018-11-01,용산구,30420.0,0,0,0.0
271,2018-11-01,은평구,22462.0,2018-11-01 00:00:00,은평구,3.0
272,2018-11-01,종로구,52640.0,2018-11-01 00:00:00,종로구,1.0
273,2018-11-01,중구,36496.0,2018-11-01 00:00:00,중구,2.0
274,2018-11-01,중랑구,26301.0,2018-11-01 00:00:00,중랑구,5.0
275,2018-12-01,강남구,21326.0,2018-12-01 00:00:00,강남구,2.0
276,2018-12-01,강동구,16112.0,2018-12-01 00:00:00,강동구,3.0
277,2018-12-01,강북구,14835.0,2018-12-01 00:00:00,강북구,1.0
278,2018-12-01,강서구,32023.0,2018-12-01 00:00:00,강서구,1.0
279,2018-12-01,관악구,12599.0,2018-12-01 00:00:00,관악구,1.0
280,2018-12-01,광진구,17041.0,2018-12-01 00:00:00,광진구,4.0
281,2018-12-01,구로구,25983.0,2018-12-01 00:00:00,구로구,3.0
282,2018-12-01,금천구,16742.0,2018-12-01 00:00:00,금천구,1.0
283,2018-12-01,노원구,26108.0,2018-12-01 00:00:00,노원구,5.0
284,2018-12-01,도봉구,18411.0,2018-12-01 00:00:00,도봉구,1.0
285,2018-12-01,동대문구,13434.0,2018-12-01 00:00:00,동대문구,4.0
286,2018-12-01,동작구,8352.0,2018-12-01 00:00:00,동작구,4.0
287,2018-12-01,마포구,17056.0,2018-12-01 00:00:00,마포구,4.0
288,2018-12-01,서대문구,24253.0,0,0,0.0
289,2018-12-01,서초구,28675.0,2018-12-01 00:00:00,서초구,2.0
290,2018-12-01,성동구,16469.0,0,0,0.0
291,2018-12-01,성북구,19498.0,2018-12-01 00:00:00,성북구,3.0
292,2018-12-01,송파구,33671.0,2018-12-01 00:00:00,송파구,10.0
293,2018-12-01,양천구,17050.0,2018-12-01 00:00:00,양천구,4.0
294,2018-12-01,영등포구,17224.0,2018-12-01 00:00:00,영등포구,3.0
295,2018-12-01,용산구,17455.0,2018-12-01 00:00:00,용산구,2.0
296,2018-12-01,은평구,9996.0,2018-12-01 00:00:00,은평구,2.0
297,2018-12-01,종로구,26542.0,0,0,0.0
298,2018-12-01,중구,19352.0,0,0,0.0
299,2018-12-01,중랑구,13812.0,2018-12-01 00:00:00,중랑구,5.0
300,2019-01-01,강남구,21945.0,2019-01-01 00:00:00,강남구,4.0
301,2019-01-01,강동구,15624.0,2019-01-01 00:00:00,강동구,5.0
302,2019-01-01,강북구,13847.0,2019-01-01 00:00:00,강북구,1.0
303,2019-01-01,강서구,30570.0,2019-01-01 00:00:00,강서구,4.0
304,2019-01-01,관악구,11830.0,2019-01-01 00:00:00,관악구,3.0
305,2019-01-01,광진구,16137.0,0,0,0.0
